Experiment No., Event, Signal
0,False,-1.2657862566386262
1,False,-0.895376063389513
2,False,-0.7028847020510731
3,True,1.142770928978058
4,True,1.0344831060831172
5,True,1.28964797785128
6,True,1.093786353792081
7,False,0.022691837530492975
8,True,1.1937949911311252
9,False,-1.3910538503559953
10,True,1.0813276964113245
11,True,0.7185067890997912
12,True,0.6095282259634218
13,True,1.124024328565134
14,True,0.5128564596847184
15,True,1.3478436046165023
16,False,-0.9952469845699874
17,True,1.0984407615446934
18,False,-0.7929749023912562
19,False,-0.5199519375363014
20,True,1.25137610981588
21,False,-1.1651355191085622
22,True,0.7103255722974958
23,False,-0.9327419390449871
24,True,0.8768417142276087
25,False,-0.5581254677959837
26,True,1.4207167435751142
27,False,-1.0074978674639146
28,True,0.9683244726390112
29,True,0.6908211735550436
30,True,0.5897079854817957
31,True,0.5284013030131764
32,False,-1.0850409240197454
33,True,1.035605221957198
34,True,1.2093302224385098
35,False,-1.0601613762338935
36,True,1.0347942927878586
37,True,1.3702538379864264
38,True,0.8728115756441015
39,True,1.6240433514086836
40,False,-0.9298529442801539
41,True,1.0652354858248052
42,False,-0.945029655598946
43,True,0.9049670030854062
44,True,1.5035104934767676
45,False,-1.1987191835883353
46,True,1.2256256472219522
47,True,0.48973779374510873
48,False,-0.77400945038088
49,True,0.612852412483847
50,True,1.5043185601660642
51,False,-1.0240864189272316
52,True,0.699410424750009
53,False,-1.1864845081118698
54,True,1.0429787041567309
55,False,-1.0987246017906824
56,True,1.0869508888155113
57,True,1.2344046238933657
58,False,-0.9452196060245014
59,True,1.4927511370154443
60,True,0.0054920581645392375
61,True,1.6789486321073304
62,True,1.1460753423015728
63,True,0.9419851359556854
64,False,-1.1339763894535215
65,True,1.269716113021336
66,False,-0.6559243464772841
67,False,-1.2900986542447028
68,False,-1.0839297828856773
69,False,-0.7039109302515056
70,True,1.1199291712654793
71,False,-1.3516497771539724
72,False,-0.8000807844845991
73,False,-0.752621910427911
74,False,-1.007546777716793
75,False,-1.1895019481693407
76,True,0.8860591819308846
77,True,1.273840791681208
78,False,-0.3789667803334774
79,True,1.4771566814382182
80,False,-0.6484313127383403
81,False,-0.8205489774842893
82,False,-0.8353449812382717
83,True,1.140155824258593
84,False,-0.8890602425981091
85,True,1.5141146854795404
86,True,0.8244547520910898
87,False,-1.2564939315316073
88,True,1.0196642519511532
89,True,1.290155086501814
90,False,-0.2791342930368168
91,False,-1.2576062447952052
92,True,1.2399920477611297
93,True,0.7703138354181263
94,True,0.5259458426299332
95,True,0.5085090012778516
96,False,-1.086640664359023
97,True,1.1237221566708793
98,False,-0.7104598254994444
99,False,-0.7961912113908449
